"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00223645","01","    5.08","     0.5","    42.6","    53.8","    31.3"
"USC00223645","02","    5.78","     0.4","    46.1","    58.3","    33.9"
"USC00223645","03","    5.61","     0.2","    54.3","    67.4","    41.3"
"USC00223645","04","    6.42","     0.0","    62.1","    75.1","    49.2"
"USC00223645","05","    5.53","     0.0","    70.3","    81.8","    58.8"
"USC00223645","06","    4.85","     0.0","    78.0","    88.8","    67.1"
"USC00223645","07","    5.43","     0.0","    80.9","    91.5","    70.3"
"USC00223645","08","    3.58","     0.0","    80.1","    91.5","    68.7"
"USC00223645","09","    4.36","     0.0","    74.8","    87.4","    62.2"
"USC00223645","10","    3.56","     0.0","    63.4","    77.2","    49.7"
"USC00223645","11","    4.84","     0.0","    52.5","    65.5","    39.5"
"USC00223645","12","    6.49","     0.0","    45.4","    56.8","    34.0"
